"V_COD_ESTA","metodo"
113091,"QM"
113100,"QM"
113101,"QM"
113116,"QM"
113119,"CUTOFF+QM"
113122,"QM"
113128,"QM"
114006,"QM"
114008,"QM"
114018,"QM"
114020,"QM"
114021,"QM"
114023,"CUTOFF+QM"
114030,"QM"
114032,"QM"
114033,"QM"
114034,"QM"
114035,"QM"
114038,"QM"
114039,"QM"
114040,"QM"
114041,"QM"
114042,"QM"
114043,"QM"
114044,"QM"
114046,"QM"
114049,"QM"
114050,"QM"
114055,"CUTOFF+QM"
114058,"CUTOFF+QM"
114065,"CUTOFF+QM"
114066,"QM"
114067,"QM"
114072,"QM"
114093,"QM"
114096,"CUTOFF+QM"
115015,"QM"
115017,"QM"
115018,"QM"
115019,"CUTOFF+QM"
115020,"QM"
115021,"QM"
115022,"QM"
115023,"QM"
115024,"QM"
115025,"QM"
115027,"QM"
115029,"QM"
115033,"QM"
115035,"QM"
115037,"QM"
115038,"QM"
115041,"QM"
115043,"QM"
115044,"CUTOFF+QM"
115046,"CUTOFF+QM"
115047,"CUTOFF+QM"
115049,"QM"
115051,"CUTOFF+QM"
115052,"QM"
115053,"QM"
115076,"QM"
115078,"QM"
115084,"CUTOFF+QM"
115085,"QM"
115086,"QM"
115087,"QM"
115088,"QM"
115089,"CUTOFF+QM"
115090,"QM"
115092,"QM"
115098,"QM"
115101,"QM"
115126,"QM"
115128,"QM"
115129,"CUTOFF+QM"
115138,"QM"
116003,"QM"
116005,"QM"
116006,"QM"
116009,"QM"
116011,"QM"
116013,"CUTOFF+QM"
116014,"QM"
116017,"QM"
116020,"QM"
116021,"QM"
116022,"QM"
116023,"CUTOFF+QM"
116025,"QM"
116026,"QM"
116027,"QM"
116029,"CUTOFF+QM"
116030,"QM"
116033,"QM"
116043,"QM"
116046,"QM"
116049,"QM"
116051,"QM"
116052,"QM"
116058,"QM"
116060,"QM"
116061,"QM"
117002,"QM"
117003,"QM"
117005,"QM"
117006,"QM"
117007,"QM"
117008,"QM"
117012,"QM"
117013,"QM"
117014,"QM"
117018,"QM"
117019,"QM"
117020,"QM"
117030,"QM"
117033,"QM"
117034,"QM"
117037,"QM"
117039,"QM"
117040,"QM"
117041,"QM"
117043,"QM"
117048,"QM"
117049,"QM"
118002,"QM"
118004,"QM"
